id,注意事項（短い名前）,伝えている内容（1文）,出どころ（file:line / フィールド）,発火条件,影響（順位が変わる／送れるかが変わる／金額の確かさ／前提・説明）,今のUI（main）での表現,Mock v3 での表現,UI区分,区分の根拠,必要なエンジンのフィールド,リリース前に決めること,担当,状態,最終更新日
11,1点の重量で1位が替わる（decisive）,この1点の重量の取り方で1位の企業が変わる,compare.ts:2400 / ItemList.tsx:408 / AssumedWeightsNote,"US/200g/cheapest/1点/仮置き 1,632条件",順位が変わる,出ている（⚠行、カート畳んでいても注記は外）,form（カートの品行に!）+ 両端の枠の集合を書く文（v3map #12はid12参照）,言葉で補っている,grammar §1.1 id11-14: 方式名の決め打ちを直し、両端の顔ぶれは文で書く,-,-,,未検討,2026-09-15
12,decisiveだが両端の勝者名が同じ（枠の集合だけ変わる）,名指しの勝者は同じでも、おすすめ枠に入る集合自体は変わっている,compare.ts:2395-2400 のコメント,"US/200g/cheapest/¥350,000/仮置き 700条件",順位の見え方（誤読リスク）,"出ているが読めない（畳んだ状態では枠の変化を書かない, 監査§3-3）",1句、書き換え済み: 'the recommended set still changes... even though the named winner reads the same'（v3map #12）,言葉で補っている,"v3map #12: エンジンが単一勝者名しか返さず二つの勝者""集合""を持たないため、形にできず文のまま（要フィールド bracketAtLow/High）",WeightSensitivity.bracketAtLow/High: string[]（grammar §5）,エンジン改修の優先度（v3では文で応急、次のリリースでフィールド化するか）,,未検討,2026-09-15
13,片端で比べられる社が減る,重量の一端では比較できる社の数が減る,"WeightSensitivity, ItemList.tsx:142-147",US/200g/cheapest/1点/表 200条件,順位が変わる,出ている（winnersText）,id11と同じ扱い（両端の顔ぶれの文の一部）,言葉で補っている,id11-14まとめてgrammar §1.1参照,-,-,,未検討,2026-09-15
14,片端で誰も値段が付かない（EMS決め打ちの誤り含む）,重量の一端では誰にも価格が付かない,ItemList.tsx:144,US/20kg/cheapest/1点/表 160条件（勝者は宅配便）,順位が変わる／文言が偽,出ている。方式名EMS決め打ちの誤り（勝者がUPSでもEMSと書く）,方式名をエンジンのmethodから引くよう修正（v3map/grammar §1.1 id11-14の指示）,言葉で補っている,文言バグの修正がv3で反映済みか未検証（要確認）,-,F5型の決め打ちバグ（監査§4）をリリース前に直すか、そのまま出すか,,未検討,2026-09-15
15,方式が行ごとに違う（cheapestで郵便と宅配便が混ざる）,同じcheapest内で行ごとに配送方式が異なる,Row.method（結果には無い）,"US/200g/cheapest/1点 2,418条件",順位の見え方（トレードオフ）,欠落（行に方式名・日数・追跡が出ない）,"Ships by列に方式・日数・追跡を表示（v2から。v3は日数に確度の線種を追加、grammar §1.2 id15,56,57）",形で表現できている,列自体で方式・日数・追跡が読める（grammar §1.2）,-,今のUI（main）にこの列を追加するか（監査の欠落是正）,,未検討,2026-09-15
16,重量不明の段（bands）,重量帯が不明なときの段階的おすすめ,compare.ts:2581-,UIは到達しない（weightFieldsForがnullを返さない）,-,到達しない,到達しない,条件未発見,"構造的にUIから到達しない経路（監査#16, 掃引0件）",-,コードを削除するか残すか（デッドコード整理の要否）,,未検討,2026-09-15
17,為替の参照日と読んだ日,為替レートの基準日と取得日,"Summary, currency",常時,金額の確かさ,出ている（asOf。fetchedOnは無い）,出ている（asOfは要約、fetchedOnは脚注。v2から不変）,形で表現できている,常時の事実表示で形式化済み,-,-,,未検討,2026-09-15
18,価格未取得の点数,カート内でまだ価格が入っていない点数,Calculator.tsx:184-189,unpricedあり,総額の見え方,出ている,form（カート見出しの隣に数 'N without a price'）,形で表現できている,"grammar §1.1 id18,19: 数で足りる",-,-,,未検討,2026-09-15
19,全点が価格未取得,カート内の全点が未価格で比較できない,Calculator.tsx:159,同上,送れるかが変わる（比較自体不可）,出ている,ボード位置に状態表示（現状のまま）,形で表現できている,空状態として形式化済み,-,-,,未検討,2026-09-15
20,比べられない行（12分岐の理由）,その社では送れない、または値段が無い（12通りの理由）,compare.ts:1914-1967,"58,825行。下位区分a-l（測定下限未満・値なし・重量上限超・寸法上限・価格上限など）",送れるかが変わる,出ている（理由の文・NOT COMPARABLE・総額—）,状態（順位外）+ 理由の種別を記号化: 売っていない=—、未測定=?、上限超=!。文は行下に1行（grammar §1.2 id20）,言葉で補っている,記号だけでは12分岐を表せず、エンジンにRow.notComparableKindが無いため文のまま（grammar §5）,Row.notComparableKind: 'not-sold'|'not-to-country'|'price-cap'|'size-limit'|'weight-limit'|'not-measured'|'below-measured-floor'|'no-priced-method',12分岐を3記号に落とすフィールド追加の優先度,,未検討,2026-09-15
21,総額から漏れた費目名,総額に含まれていない費目の名前,RankBoard.tsx:280-284,"63,540行",金額の確かさ,出ている（行に常時 'excl. …'）,form: 行の総額直下に線なしの費目名を1行（'+ Sales tax / VAT'など）。監査§3-4の降格を是正（v3map #21）,形で表現できている,v3で名前そのものを行に戻し、+の1文字だけだった監査§3-4の欠陥を解消,-,-,,未検討,2026-09-15
22,上限不明（total.high===null）,総額の上限が置けない（青天井）,"RankBoard.tsx:106-114, format.ts:50","4,715行（US全行、Buyee consolidated常時、FROM JAPAN外注梱包）",金額の確かさ,出ている（'¥…+' 言葉「or more (upper bound unknown)」付き）,form only: 帯の右端ぼかし+'¥X+'。'or more'の文言は消す（v3map #22）,形で表現できている,grammar §1.2 id22: 帯のぼかし+数字の書き方で言葉は不要に,-,-,,未検討,2026-09-15
23,総額に幅（¥a-b）,総額に幅がある（下端〜上端）,format.ts:53,"GB/200g/cheapest/¥30,000 7,692行",金額の確かさ,出ている,¥a-b + 区間の帯,形で表現できている,数字の書き方と帯だけで表現（grammar §1.2 id23）,-,-,,未検討,2026-09-15
24,総額に推定が混じる（≈）,総額に推定値が混ざっていることを示す印,compare.ts:1820,"全comparable行（27,089行中approximate=false=0件）",金額の確かさ（情報量ゼロ問題）,出ている（~）。ただし常に真なので情報量ゼロ（監査§3-5）,"廃止（v3map #24, grammar §2.1）。幅と線種が既に推定を運ぶため二重表示",未表現（無理）,"常に真の印は区別を作れないため意図的に廃止（grammar §2.1, van der Bles 2020）。撤去自体が設計判断",-,≈の完全撤去をリリースに含めるか（既存UIユーザーの慣れとの兼ね合い）,,未検討,2026-09-15
25,同額（tied）,順位が同額で並び順に意味が無い,RankBoard.tsx:86-91,US/500g/cheapest 123条件（CA/200g/EMSも）,順位が変わる,出ている（!行）,form: 順位番号を同じにし、2行を同じブラケットで括る。文は§に（grammar §1.2 id25）,形で表現できている,ブラケットで同格を形にできる,-,-,,未検討,2026-09-15
26,おすすめ枠 単独,唯一の推奨（1位）,RankBoard.tsx:249-254,"6,799条件",順位の見え方,出ている（'★ Recommended — sole top pick'）,"form: indigoブラケット、バッジ廃止（v3map #26,27,28）",形で表現できている,3つのバッジ文言を1つの視覚（ブラケット）に統合済み,-,-,,未検討,2026-09-15
27,おすすめ枠 2社,2社のどちらでもよい推奨,RankBoard.tsx:249-254,"1,324条件",順位の見え方,出ている（'either works'）,id26と同じブラケットに統合,形で表現できている,同上,-,-,,未検討,2026-09-15
28,同等（equivalent）,1位の帯に重なるが枠は既に2社で埋まっている,RankBoard.tsx:255-262,"US/500g/cheapest/3点/¥350,000 628条件。CA例カートも",順位の見え方,出ている（補足はホバーのみ）,id26と同じブラケットに統合。監査§3-2の「1社だけ」もブラケット無しで解ける,形で表現できている,ホバー依存を廃してブラケットに一本化,-,-,,未検討,2026-09-15
29,仮定に依存して閉じた1位（closedByAssumption）,宅配便が1位のとき、その順位は当方の仮定に依存する,RankBoard.tsx:60-63,"宅配便が1位の5,657条件",金額の確かさ／順位の前提,出ている（スタンプ 'ESTIMATED CHEAPEST'）,"スタンプ2段目'estimated'（既存どおり）+1位の帯を破線で描く（推定の線種と同義, grammar §1.2 id29）",形で表現できている,スタンプ+線種の組み合わせで文言不要,-,-,,未検討,2026-09-15
30,差額が下限でしかない,表示された差額は下限にすぎない（実際はもっと差があるかも）,RankBoard.tsx:65-79,"1位が上限不明または幅あり（3,880+1,449条件）",金額の確かさ,出ている（小さな 'at least'）,'≥ +¥d' に置換。帯を見れば同じことが分かる（grammar §1.2 id30）,形で表現できている,記号≥と帯で言葉を代替,-,-,,未検討,2026-09-15
31,tag: 個口がまとまるか未確認（1 parcel assumed）,個口がまとまるかどうかは未確認の仮定,compare.ts:1874,"14,897行",金額の確かさ,出ている（行のtag）,open: Boxesはカウントのまま、'assumed'語は開いたPacked段に（v3map #31: 390px3列制約のため）,開いた中だけ,v3map #31: カウント列に文言を足す余地が390px制約で無く、開いた中に留めた設計判断,-,390px制約を緩める余地（デザインの再検討要否）,,未検討,2026-09-15
32,tag: 同梱は自分で頼む,同梱してもらうには自分から依頼が必要,compare.ts:1875,"7,052行",送れるか・金額の確かさ,出ている（!行）,"form: Boxes列に!（既存Mockどおり、grammar §1.2 id32,33）",形で表現できている,!記号で継続表現,-,-,,未検討,2026-09-15
33,tag: 注文数≠個口数,注文の数と実際に届く小包の数が違う,compare.ts:1867,"7,809行",金額の確かさ,出ている（'3 orders・3 parcels'）,Boxes列に箱の数（アイコン×N）。注文数は開いた中,形で表現できている,アイコン数で足りる,-,-,,未検討,2026-09-15
34,Surfaceの代替（船便など安い別方式）,待てるなら安い船便がある,RankBoard.tsx:289-297,"60,684行（ほぼ常時）",順位が変わりうる（選択肢）,出ている（行に常時）,"open（delivery-log Exportステージ。v2から不変, v3map #34: 専用行を作るより文の方がまだ雑然としないと判断）",開いた中だけ,v3map #34: 専用の形を作る案は検討したが、クラッターが増えると判断し文のまま,-,段1に上げ直す価値があるか（v3の判断への異論の有無）,,未検討,2026-09-15
35,紹介料（pays us nothing等）,この社を選ぶと当方が紹介料を得るかどうか,RankBoard.tsx:271-273,常時,利害の開示,出ている（全行）,"行の社名の隣に小さく常時（既存どおり。開示義務があるため§には入れない, grammar §1.2 id35）",形で表現できている,常時小さく表示という形式で継続,-,-,,未検討,2026-09-15
36,直リンクでない（URLを貼る作業が必要）,商品ページへは自分でURLを貼る必要がある,RankBoard.tsx:344-348,"85,914行",前提・説明,開いた中,開いた中（Door段。v2から不変）,開いた中だけ,作業手順の説明であり決定には影響しないため段3のまま,-,-,,未検討,2026-09-15
37,箱の分かれ方の理由（5種）,荷物が複数箱に分かれる理由（店舗違い・重量上限・店舗不明など）,ParcelView.tsx:514-525,"per-listing 15,615／unresolved-shop 7,806／weight-limit 9,135／identified-shop／single",金額の確かさ（総額が高めに外れうる開示含む）,出ている（箱区画は常時）,"form: 箱の間の区切り線の線種（実線=店舗違い、破線=上限分割、点線=店舗不明）+ 開いたfigcaptionで関税・VAT詳細（v3map #37,37b,37c,38）。'OVER LIMIT'表記は撤去（監査§3-6是正）",形で表現できている,線種で5種の理由のうち3系統を形にでき、'OVER LIMIT'による誤読（送れない、と混同）を解消,Row.weightLimitG: number|null（箱の目盛りを上限に対して描くため、grammar §5）,unresolved-shopの「総額が高めに出うる」開示を段1に上げるかどうか（重要度が高い旨は監査37bに記載）,,未検討,2026-09-15
38,箱ごとの関税・VAT判定（5分類）,箱ごとに課税方式が異なる（flat/free/no-duty/rate/unknown等）,ParcelView.tsx:538-550,複数箱または複数国のとき,金額の確かさ,出ている（複数箱のときだけ）,"開いたfigcaption（複数箱またはduty≠rateのとき、v3map #37,37b,37c,38に含む）",開いた中だけ,詳細な分類は根拠の領域として§に置く設計,-,-,,未検討,2026-09-15
39,箱の分割は当方の前提（SplitDisclosure、オーナー文）,箱の分け方は代行会社の裁量であり当方の仮定にすぎない,ParcelView.tsx:769-786,複数箱,前提・説明,出ている,"未実装（not shown）。v3map #39,40: エンジンにこの文を裏付けるフィールドが無く、再度長文を閉じた画面に置くとオーナーの方針（解説文を避ける）に反するため見送り",未表現（無理）,"v3map #39,40: 引き継いだギャップ。エンジン側にフィールドが無いことと、長文を復活させない方針の両方が理由",オーナー文をどう扱うか自体（テキストとしてもエンジンフィールドとしても未定義）,オーナー文を復活させるか、別の短い形に作り直すか,,未検討,2026-09-15
40,箱ごとに別々に課税判定という説明,各箱は個別に価格計算・課税判定される,ParcelView.tsx:663-665,複数箱,前提・説明,出ている,未実装（not shown、id39と同じ理由）,未表現（無理）,"id39と同一の理由（v3map #39,40）",-,id39と合わせて判断,,未検討,2026-09-15
41,「1箱にまとめたら」の見出し,箱を1つにまとめた場合の総額比較の見出し,ParcelView.tsx:796-802,常時,前提・説明,出ている,未実装（not shown）。v3はmock-v2の秤（platform/scaleのメタファー）に置換し、同じ問いに答える（v3map #41）,未表現（無理）,v3map #41: 見出しという形自体は無いが、秤の動きが同じ意味を代替しているため実質的には表現している。ただし監査の項目としては欠落のまま,-,秤メタファーが見出しの代替として十分か、オーナー確認,,未検討,2026-09-15
42,推定重量の品は半透明、仮置きは点線,箱の中身の描き分け（表の推定=半透明、仮置き=点線）,"ParcelView.tsx:455-469, PackingBox",常時（仮置きがあるときだけ点線説明）,金額の確かさ,出ている,"開いた中（§ 'Boxes are illustrative'。v2で表と仮置きを同じ'pale dashed'に潰していた監査§3-7の欠陥は、grammar §1.1 id87,88のカート側?表示で代替）",開いた中だけ,"箱の中身の描き分けそのものは段3のまま。カート側の?と点数で主要な意味は段1に出す設計（grammar id87,88）",-,箱の中の区別（監査§3-7）をv3で直したかどうかの実機確認,,未検討,2026-09-15
43,宅配便は容積重量課金・箱は仮定,宅配便の請求重量は容積重量との大きい方。箱の寸法(20x15x10cm)は当方の仮定,ParcelView.tsx:752-763,1位が宅配便,金額の確かさ,出ている,開いた中（§ intl-shipping note。v2から不変）,開いた中だけ,根拠説明として段3,-,-,,未検討,2026-09-15
44,EMSは重量だけ・箱は梱包シミュレーションでない,EMSは重さだけで決まり、箱の表示は梱包シミュレーションではない,ParcelView.tsx:430-437,1位が郵便,前提・説明,出ている,開いた中（§ 一般文。v2から不変）,開いた中だけ,同上,-,-,,未検討,2026-09-15
45,EMS表の外（30kg超）,重量が公表テーブルの上限を超え、送料の値が存在しない,WeightLadder.tsx:203-207,30kg超（#1と重なる）,送れるかが変わる,出ている,未実装（not shown）、id1の比較不能画面に吸収（v3map #45: WeightLadder自体がv2から無い）,未表現（無理）,v3map #45: 専用の段自体を描かない設計。id1に吸収されるため個別の形は無い,-,-,,未検討,2026-09-15
46,送料の差分チップ（+¥0 同じ重量ステップ）,品を追加しても送料の重量段が変わらないことを示す差分,ParcelView.tsx:385-409,品を足したとき,金額の確かさ,出ている,未実装（not shown）、秤(.heft)の沈み/沈まないで代替（v3map #46）,未表現（無理）,v3map #46: テキストチップは秤の動きと重複するため意図的に置かない設計判断,-,-,,未検討,2026-09-15
47,確度4段階（fixed/estimate/unverified/none）の書式,金額の確度を線種で表す4段階,"tiers.tsx:6-26, Amount",全費目,金額の確かさ,出ている（~琥珀色／点線下線／—。凡例2箇所）,"開いた中（配達ログ見出し+§）。線種のみ画面に残し、琥珀色・~・titleは廃止（v3map #47, grammar §1.2 id47）",開いた中だけ,凡例は1回だけで足り、行ごとには線種のみ（grammar §1.2 id47: '凡例は配達ログの見出しに1回'）,-,-,,未検討,2026-09-15
48,上端も置けない未取得（no upper bound）,未公表で上限すら見積もれない費目,RowBreakdown.tsx:36-46,"vat(US)8,611／consolidation-packing7,809／outsourced-packing3,154等",金額の確かさ,開いた中,"額欄を—・線なし、段の小計に+。ただし制度上存在しない費目(US売上税)は—にせず別状態にすべき（grammar §1.2 id48, 監査§3-8）",開いた中だけ,grammar §5: Line.unknownKindフィールドが無く、'未公表'と'制度上存在しない'を区別できない構造的欠陥が残る,Line.unknownKind: 'unpublished'|'unpublished-capped'|'structural-absence'|'conditional',US売上税など「制度上存在しない」を'not published'と誤読させないための表現をいつ直すか,,未検討,2026-09-15
49,上端の見積りがある未取得（unknownCapYen）,未公表だが上限の見積り額がある（Jauce保管60日超など）,compare.ts:837-842,保管100日・130日（特殊籠2件）,金額の確かさ,今のUIが欠落（unknownCapYen・unknownCapNoteはsrc/components/のどこにも描画されていない）,"開いた中（'≈ up to ¥1,400' + §のunknownCapNote）",未表現（無理）,監査#49: 今のUI(main)には該当フィールドを読む描画コードが無い(grep結果RowBreakdown1箇所のみ)。値・根拠が画面のどこにも出ない,既存のcompare.tsのunknownCapYen/unknownCapNoteをコンポーネントに配線する,今のUI(main)側の欠落修正をこのPRの後にどのタイミングで着手するか,,未検討,2026-09-15
50,幅のある費目とrangeNote,宅配便測定点の間・Neokyo保管の段・通関手数料の仮定ゼロなど、幅がある費目の説明,Line.amountKind='range',"intl-shipping9,215／courier-clearance-fee583／storage3",金額の確かさ,今のUIが欠落（rangeNoteはsrc/components/に0件、額は下端だけAmountで出る）,"費目額を¥a-b／≈ up to ¥c + §にrangeNote/unknownCapNote（grammar §1.2 id49,50,60,69）",未表現（無理）,監査#50: rangeNoteを描くコンポーネントが今のUI(main)に存在しない。v3でも根拠は§に留まるが、少なくとも幅の額自体は¥a-bで出す想定,-,今のUI(main)にrangeNoteの表示を追加するか,,未検討,2026-09-15
51,社を問わず同じにかかる未知（scope:'shared'）,US売上税・Zonos・英酒税など、社に関わらず一律に発生しうる未知の費用,Line.scope,上記の各費目,金額の確かさ,区別せず表示（excludedに並ぶ）,区別せず表示（v3でも明確な対応が確認できない）,条件未発見,v3mapに個別記載が無く、scopeの表示への昇格（grammar §1.1 id51）が実装されたか未確認,Line.scopeの表示への昇格（既存'shared'をexcludedの並びから分ける、grammar §5）,scope='shared'を条件帯に1回だけ出す設計をいつ実装するか,,未検討,2026-09-15
52,国内送料は仮置き,国内送料が未入力のときは仮置き額（例: ~¥800）で計算している,"compare.ts:1429, ItemList.tsx:445-450","85,904行",金額の確かさ,出ている（カート）,数字の形（破線）。カートに'≈¥800 guess'（v2から不変）,形で表現できている,破線という線種のみで確度を表現できている,-,-,,未検討,2026-09-15
53,Buyeeの送料込み出品は国内送料が発生しうる,送料込みと書かれた出品でも、Buyeeの総額には国内送料が別途乗る可能性がある,"compare.ts:1425-1427, FreeShippingDomesticNote.tsx",送料込み出品あり（特殊籠）,金額の確かさ,出ている（順位の上の常時行）,未実装（not shown）。v3map #53: mock-v2がFreeShippingDomesticNote自体を配線しておらず、真の欠落（v2/v3共通のギャップ）,未表現（無理）,v3map #53: 本来はRow.freeShipping&&domesticShippingYen==nullをトリガーに行の!として§1.1で設計されているが、この回のビルドでは未着手と明記,行の! (freeShipping && domesticShippingYen==null条件、grammar §1.1 id53),重要度が高いとv3map自身が指摘（'a real gap'）。次のビルドで最優先にするか,,未検討,2026-09-15
54,宅配便の測定点の間の区間,実測していない重量点は前後の測定値の間として扱う（下端を表示）,compare.ts:1501-1505,"9,215行。単調性が崩れ上限不明の下位区分は条件未発見",金額の確かさ,開いた中（note）,開いた中（§。v2から不変）,開いた中だけ,根拠説明として段3,-,-,,未検討,2026-09-15
55,宅配便の箱の仮定（20x15x10cm）,宅配便の送料計算は20x15x10cmの箱を仮定しており、寸法入力はまだできない,postage.ts:261,"12,470行",金額の確かさ,開いた中,開いた中（§。v2から不変）,開いた中だけ,根拠説明,-,-,,未検討,2026-09-15
56,追跡無し,この方式には追跡番号が無い,compare.ts:1506,"2,639行（小形包装物）",送れるかの判断,開いた中（note。MethodPickerの選択肢には出る）,出ている（Ships by列 'untracked'。v2でMockが既に昇格済み）,形で表現できている,"列内の単語のみで表現でき、!ではなく利用者の選択次第（grammar §1.2 id15,56,57）",-,今のUI(main)側でも列に昇格させるか（監査#56: 今のUIは開いた中のまま）,,未検討,2026-09-15
57,宅配便の所要日数は未モデル（ラベル由来）,宅配便の日数はラベルから借用しているだけで確度が無い,compare.ts:1330,"12,470行",金額の確かさ／期待値の誤読,出ていない（今のUIのnoteにも出ない）,form: 日数テキストに破線下線（他の推定と同じ線種）。以前は確度なしで実線同然に見えた誤りを是正（v3map #57）,形で表現できている,v3で線種を追加し、確度の無いラベル由来日数を推定と同じ見た目に統一（監査§3-9の是正）,"Row.days:{text,tier,sourceUrl,tracked}（grammar §5）",今のUI(main)のMethodPickerにも同じ線種を適用するか,,未検討,2026-09-15
58,公表額への上乗せ,ZenMarketの小形包装物で公表レートに一定額を上乗せしている,compare.ts:1483-1485,867行,金額の確かさ,開いた中,開いた中（v2から不変）,開いた中だけ,根拠説明,-,-,,未検討,2026-09-15
59,保管の上限日数で頭打ち,保管日数の上限を超えると荷物が処分される,compare.ts:757,保管100日以上（特殊籠7行）,送れるかが変わる,開いた中,開いた中（v2から不変）,開いた中だけ,特殊条件の説明で段3,-,-,,未検討,2026-09-15
60,Neokyo保管は寸法で幅,Neokyoの保管料は荷物の寸法によって幅がある,compare.ts:799-808,保管100日,金額の確かさ,開いた中（幅の上端は出ない、#50と同じ欠落）,"開いた中（'¥2,100-8,400'。v3で幅の上端を表示できるか#50参照）",未表現（無理）,今のUI(main)は#50と同じ理由でrangeNoteの上端を出せない構造的欠落,#50と同じ（Line.amountKind='range'の上端表示）,#50とまとめて対応,,未検討,2026-09-15
61,Jauce保管は非公表（unknownReason）,Jauceの保管料は非公表で額が分からない,compare.ts:822,保管60日超,金額の確かさ,開いた中,開いた中（v2から不変）,開いた中だけ,根拠説明,-,-,,未検討,2026-09-15
62,州税は人口加重の推定,カナダの州税は州未選択のとき人口加重平均で推定している,"compare.ts:258-264, ProvincePicker","CA・州未選択8,598行",金額の確かさ,出ている（選択欄'Not chosen — we estimate 7.3%'）+開いた中,"数字の形（破線、推定の線種）。条件欄の値を破線に（grammar §1.2 id62,96, v2から表現自体は不変）",形で表現できている,破線という線種のみで確度を表現,-,-,,未検討,2026-09-15
63,州税ゼロは取得できたゼロ,アルバータ州の州税ゼロは推定ではなく確定した事実,compare.ts:251-253,"CA/AB 8,580行",金額の確かさ,開いた中,開いた中（v2から不変）,開いた中だけ,根拠説明,-,-,,未検討,2026-09-15
64,米国関税12.5%は下限（Section301の床）,米国関税の12.5%はSection301が課す下限にすぎない,"compare.ts:409-415, us-duty.ts:216",重量ラインが弱い分類のとき,金額の確かさ,開いた中,再現不能（Mockの入力手段では重量ラインに当たる品を作れない）,条件未発見,"監査1.2・v3map #64,77,84,85: Mockのカートで該当品を作れず、DOM上で確認できていない（コード読解のみ）",-,Mockに重量ラインの品を追加する入力手段を作るか（テスト網羅性の課題）,,未検討,2026-09-15
65,免税線を個口がまたぐ混在,複数の小包のうち一部だけが免税線を超える／下回る,"compare.ts:420-431,490-497","CA2個口(特殊籠3行)／SG3点¥30,000 48行",金額の確かさ,開いた中,開いた中（v2から不変）,開いた中だけ,特殊条件の説明,-,-,,未検討,2026-09-15
66,決済時徴収（国境ではなくサービスが徴収）,GST/VATが国境ではなく決済時にサービス側から徴収される,compare.ts:480-485,"GB(IOSS)/AU/SG 8,876行",前提・説明,開いた中,開いた中（v2から不変）,開いた中だけ,仕組みの説明,-,-,,未検討,2026-09-15
67,通関手数料: 決済時払済の個口／手数料ゼロ帯,通関手数料が決済時に払済、またはゼロ帯に該当する場合がある,compare.ts:567-585,"zeroBand46行(US¥350,000)。paidAtCheckoutは条件未発見",金額の確かさ,開いた中,開いた中（v2から不変）,開いた中だけ,一部（paidAtCheckout）は条件未発見だが、zeroBand自体は開いた中で表現されている,-,-,,未検討,2026-09-15
68,輸出通関手数料の確度が社で違う,ZenMarket/Neokyoの輸出通関手数料はunverified（未確認）扱い,compare.ts:701-707,"11,297行",金額の確かさ,開いた中（点線下線）,開いた中（点線。v2から不変）,開いた中だけ,線種で表現されつつ根拠は段3,-,-,,未検討,2026-09-15
